
 Packet Statistics:
  - Total Packets: 328623
  - Total Data Transferred: 324313533 bytes
  - Min Packet Size: 42 bytes
  - Max Packet Size: 1514 bytes
  - Avg Packet Size: 986.886 bytes

[Unique Source-Destination IP:Port Pairs]
  - 142.250.70.110:443 -> 10.7.11.235:65002
  - 10.7.11.235:65002 -> 142.250.70.110:443
  - 142.250.194.46:443 -> 10.7.11.235:51989
  - 142.250.192.131:443 -> 10.7.11.235:54183
  - 10.7.11.235:60120 -> 142.251.42.99:443
  - 10.7.11.235:60911 -> 52.70.169.47:443
  - 10.7.11.235:60908 -> 52.70.169.47:443
  - 142.251.42.74:443 -> 10.7.11.235:61001
  - 10.7.11.235:61001 -> 142.251.42.74:443
  - 10.7.11.235:59425 -> 13.107.42.14:443
  - 10.0.136.7:53 -> 10.7.11.235:61039
  - 10.0.136.7:53 -> 10.7.11.235:61010
  - 10.7.11.235:61011 -> 10.0.136.7:53
  - 142.250.199.142:443 -> 10.7.11.235:53822
  - 10.7.11.235:53822 -> 142.250.199.142:443
  - 54.235.64.44:443 -> 10.7.11.235:60968
  - 10.7.11.235:61538 -> 142.250.192.100:443
  - 142.250.70.46:443 -> 10.7.11.235:61128
  - 142.250.77.34:443 -> 10.7.11.235:65014
  - 10.7.11.235:61128 -> 142.250.70.46:443
  - 142.250.199.142:443 -> 10.7.11.235:65178
  - 10.7.11.235:63451 -> 10.0.136.7:53
  - 142.250.194.163:443 -> 10.7.11.235:52169
  - 142.250.67.138:443 -> 10.7.11.235:63481
  - 216.58.200.170:443 -> 10.7.11.235:63881
  - 10.7.11.235:63448 -> 10.0.136.7:53
  - 10.0.136.7:53 -> 10.7.11.235:63447
